title,vote_count,vote_average,score
The Shawshank Redemption,8358.0,8.5,8.445869118856711
The Godfather,6024.0,8.5,8.425438737778375
Dilwale Dulhania Le Jayenge,661.0,9.1,8.42145329405782
The Dark Knight,12269.0,8.3,8.26547696149501
Fight Club,9678.0,8.3,8.256384748365672
Pulp Fiction,8670.0,8.3,8.251405793252715
Schindler's List,4436.0,8.3,8.20663906754166
Whiplash,4376.0,8.3,8.205404134572635
Spirited Away,3968.0,8.3,8.196054543222257
Life Is Beautiful,3643.0,8.3,8.187171484202333
The Godfather: Part II,3418.0,8.3,8.180076342767322
One Flew Over the Cuckoo's Nest,3001.0,8.3,8.164255980519288
Forrest Gump,8147.0,8.2,8.150272439439204
The Empire Strikes Back,5998.0,8.2,8.13291866749293
Psycho,2405.0,8.3,8.132714680086343
The Intouchables,5410.0,8.2,8.125837191099006
Your Name.,1030.0,8.5,8.112532062539051
Leon: The Professional,4293.0,8.2,8.10723403422894
The Green Mile,4166.0,8.2,8.104510669075697
GoodFellas,3211.0,8.2,8.077458663429685
